company_name,_name_key,country,region_bucket,revenue_eur_latest,ebitda_eur_latest,revenue_year,employees,industry_code,ownership_status,inactive,business_model_tags,ai_fde_match_prior,description,source,stage_status
UNISYSTEMS LUXEMBOURG S.A R.L.,unisystems luxembourg s a r l,LU,Benelux,82300000.0,10800000.0,,n.v.,6202,Unknown,False,,True,"UNISYSTEMS LUXEMBOURG S.A R.L., as part of the Unisystems group, explicitly offers 'Artificial Intelligence & Machine Learning' services. Their capabilities include the design, implementation, and support of robust AI-driven solutions, predictive analytics, natural language processing (NLP), and machine learning models. This directly aligns with our 'High Potential' criterion for IT service providers with strong engineering talent and strong indications of 'Direct Match' for custom AI deployment.",Orbis Screened,raw
CADFEM GERMANY GMBH,cadfem germany gmbh,DE,DACH,81500000.0,3500000.0,,188,6201,Unknown,False,,True,"CADFEM is a highly specialized engineering partner for Ansys simulation software, possessing deep technical domain expertise in physics-based modeling and digital twins. They have actively integrated AI and machine learning into their simulation workflows to optimize product development cycles for complex B2B industrial clients. Their engineering-heavy DNA and ability to deploy advanced computational models position them as a strong candidate for an AI FDE pivot, moving from traditional simulation to predictive AI-driven engineering pipelines.",Orbis Screened,raw
INFOMOTION GMBH,infomotion gmbh,DE,DACH,80100000.0,2900000.0,,573,6202,Unknown,False,,True,"Infomotion GmbH is a specialized data and analytics consultancy with deep expertise in BI, data architecture, and modern cloud ecosystems. Their strong foundation in data engineering and advanced analytics makes them an ideal candidate to pivot into AI Forward Deployed Engineering, specifically for RAG and custom AI workflow integration. Their existing focus on enterprise-grade data management aligns perfectly with the requirement for robust backend infrastructure needed to support high-value AI implementations.",Orbis Screened,raw
PARCIT GMBH,parcit gmbh,DE,DACH,79800000.0,5700000.0,,466,6201,Unknown,False,,True,"PARCIT GMBH operates as a specialized software engineering firm focusing on high-complexity digital transformation and cloud-native architecture, which aligns with NACE 6201 requirements. Their technical profile demonstrates the core engineering rigor necessary for complex system integration, providing a strong foundation for scaling AI-driven pipelines and RAG implementations. They represent a high-potential pivot candidate for the AI Forward Deployed Engineering thesis due to their existing focus on bespoke, high-value enterprise software solutions.",Orbis Screened,raw
SWORD TECHNOLOGIES S.A.,sword technologies s a,LU,Benelux,78000000.0,3800000.0,,n.v.,6201,Unknown,False,,True,"SWORD Technologies is a large-scale, established digital transformation consultancy with significant engineering depth in complex enterprise architectures, including cloud-native solutions and data integration. While they are a broad IT services provider, their existing focus on government and large enterprise data infrastructure creates a strong technical foundation for scaling AI-driven initiatives and RAG deployments. Their proven track record in sophisticated software engineering qualifies them as a high-potential firm capable of pivoting to specialized AI Forward Deployed Engineering.",Orbis Screened,raw
SCALIAN GERMANY AKTIENGESELLSCHAFT,scalian germany aktiengesellschaft,DE,DACH,77400000.0,9200000.0,,698,6202,Unknown,False,,True,"Scalian Germany AG is a highly specialized engineering and digital services consultancy with a strong footprint in complex systems, data science, and AI integration for high-stakes industries like aerospace and automotive. Their core competency in systems engineering and data analytics provides the necessary technical foundation to scale advanced AI solutions, including RAG and custom model deployment. Given their focus on digital transformation and deep technical consulting, they represent a strong candidate for an FDE-focused investment strategy.",Orbis Screened,raw
MSG FOR AUTOMOTIVE GMBH,msg for automotive gmbh,DE,DACH,77300000.0,3000000.0,,470,6201,Unknown,False,,True,"MSG FOR AUTOMOTIVE GMBH is a specialized technology subsidiary within the well-established msg group, focusing on digital transformation in the automotive sector. Given their deep domain expertise in vehicle software, connectivity, and complex industrial system integration, they represent a high-potential pivot candidate for AI-driven FDE. They possess the engineering talent and enterprise client base necessary to deploy proprietary RAG systems and multi-agent workflows for automotive manufacturing and supply chain optimization.",Orbis Screened,raw
ENDAVA GMBH,endava gmbh,DE,DACH,74700000.0,5800000.0,,165,6201,Unknown,False,,True,"Endava is a high-end global software engineering services provider that aligns well with the FDE thesis due to its extensive experience in cloud architecture, data engineering, and digital product development. They have already established formal AI practice areas focusing on generative AI, machine learning operations, and enterprise-grade data architecture. Their strong engineering culture and existing relationships with global enterprise clients position them as a high-potential firm for scaling complex, custom AI deployment workflows.",Orbis Screened,raw
CAPGEMINI DEUTSCHLAND SERVICES GMBH,capgemini deutschland services gmbh,DE,DACH,73900000.0,14000000.0,,461,6201,Unknown,False,,True,"Capgemini is a top-tier global IT services firm with extensive deep-tech capabilities, currently heavily invested in AI-driven digital transformation through their 'Generative AI' practice. They actively deploy custom RAG pipelines, fine-tuned LLM architectures, and agentic workflows for enterprise clients. Their strong engineering bench and existing footprint in large-scale infrastructure integration make them a highly viable candidate for our AI Forward Deployed Engineering thesis.",Orbis Screened,raw
LESSMORE GMBH,lessmore gmbh,DE,DACH,73700000.0,14500000.0,,17,6201,Unknown,False,,True,"LESSMORE GmbH operates as a high-end software engineering studio with a strong focus on bespoke architectural development and scalable cloud solutions, aligning with our high-potential criteria. Their technical expertise in building complex, data-heavy systems provides a solid foundation for transitioning into advanced AI pipeline deployment and RAG system integration. Given their established engineering maturity and focus on custom software solutions, they represent an excellent candidate to pivot toward our AI Forward Deployed Engineering thesis.",Orbis Screened,raw
COMARCH AKTIENGESELLSCHAFT,comarch aktiengesellschaft,DE,DACH,73000000.0,4800000.0,,242,6201,Unknown,False,,True,"Comarch is a large-scale, established IT services provider with deep engineering capabilities in telecommunications, IoT, and enterprise software. Their scale and technical infrastructure provide a strong foundation for scaling AI-integrated solutions. They are actively pivoting towards advanced data analytics and AI-driven automation, aligning well with the transition from traditional software development to deployment-heavy AI engineering.",Orbis Screened,raw
E:FS TECHHUB GMBH,e fs techhub gmbh,DE,DACH,71900000.0,3600000.0,,539,6201,Unknown,False,,True,"E:FS TechHub is a highly specialized automotive software and engineering firm with deep domain expertise in autonomous driving, connectivity, and complex software systems. Their background in handling massive datasets and mission-critical embedded systems provides a strong foundation for scaling AI-driven perception and decision-making pipelines. They are well-positioned to transition into AI Forward Deployed Engineering, moving from traditional automotive software development to deploying sophisticated AI workflows within the highly regulated mobility sector.",Orbis Screened,raw
TECHNIA GMBH,technia gmbh,DE,DACH,71800000.0,6100000.0,,193,6202,Unknown,False,,True,"TECHNIA GMBH is a global leader in Product Lifecycle Management (PLM) and digital engineering, possessing deep domain expertise in data-intensive industrial workflows and complex software integration. Their strong technical foundation in engineering simulation, data management, and digital twin technology provides the perfect infrastructure to pivot into AI-driven predictive maintenance and generative engineering design. As a specialized consultancy with high engineering talent density, they align well with our FDE thesis by bridging sophisticated industrial data with scalable AI deployment.",Orbis Screened,raw
COGNIZANT TECHNOLOGY SOLUTIONS BELGIUM,cognizant technology solutions belgium,BE,Benelux,71200000.0,6800000.0,,285,6202,Unknown,False,,True,"Cognizant is a global IT services and consulting giant with extensive capabilities in AI, data analytics, and digital engineering. While the Belgian entity itself might not have a public micro-site detailing specific Generative AI offerings, it leverages Cognizant's global expertise in designing, deploying, and maintaining custom AI pipelines, RAG systems, and multi-agent workflows for enterprise clients. Their NACE code 6202 (IT consultancy) further confirms their high potential as an IT service provider with strong engineering talent capable of scaling AI solutions.",Orbis Screened,raw
FIS INFORMATIONSSYSTEME UND CONSULTING GMBH,fis informationssysteme und consulting gmbh,DE,DACH,71100000.0,5000000.0,,564,6202,Unknown,False,,True,"FIS GmbH, a German IT consulting and SAP service provider (NACE 6202), explicitly offers AI & Machine Learning services, including custom ML model development and integration into SAP solutions. Their deep expertise in complex enterprise system integration, custom software development, and cloud infrastructure positions them to design and deploy custom AI pipelines. This directly aligns with our 'AI Forward Deployed Engineering' thesis, as they bridge AI research with practical enterprise application within critical business processes.",Orbis Screened,raw
SINC GMBH,sinc gmbh,DE,DACH,70800000.0,7500000.0,,294,6201,Unknown,False,,True,"SINC GmbH is a well-established German IT consultancy specializing in complex software architecture, cloud-native development, and digital transformation. Their deep technical expertise in high-end backend engineering and systems integration provides a strong foundation for scaling AI-driven pipelines and enterprise-grade RAG systems. Given their focus on custom technical solutions rather than commodity IT services, they represent a high-potential candidate for pivoting into an AI Forward Deployed Engineering model.",Orbis Screened,raw
DATAGROUP BUSINESS SOLUTIONS GMBH,datagroup business solutions gmbh,DE,DACH,70000000.0,6900000.0,,197,6202,Unknown,False,,True,"DATAGROUP is a large-scale German IT service provider that focuses on complex managed services, cloud transformation, and enterprise digitization. While they act as a broad system integrator, their deep technical infrastructure capabilities and extensive portfolio of enterprise clients provide a strong foundation for scaling AI-driven operational workflows and RAG deployments. Their focus on secure, sovereign cloud environments aligns well with the enterprise requirement for reliable, deployed AI engineering, offering a high-potential vector for transitioning into a specialized AI FDE provider.",Orbis Screened,raw
MINDCURV GROUP GMBH,mindcurv group gmbh,DE,DACH,68500000.0,9000000.0,,724,6201,Unknown,False,,True,"Mindcurv Group is a high-end digital transformation and commerce consultancy that demonstrates significant technical maturity in cloud-native architecture and data engineering. Their recent strategic focus on generative AI, coupled with their expertise in headless commerce and complex systems integration, makes them a prime candidate for scaling AI FDE services. They possess the necessary engineering talent and enterprise client base to successfully pivot from traditional digital services to bespoke AI pipeline and RAG system deployments.",Orbis Screened,raw
"ITERATEC GMBH, NIEDERLASSUNG OESTERREICH",iteratec gmbh niederlassung oesterreich,AT,DACH,68500000.0,6400000.0,,n.v.,6209,Unknown,False,,True,"ITERATEC is a well-established German IT consultancy specializing in high-end software engineering, complex system architecture, and cloud-native development, which aligns with our 'High Potential' criteria for pivoting to AI scaling. Their current service portfolio includes advanced data analytics, MLOps, and digital transformation projects, providing a solid technical foundation for deploying enterprise-grade RAG and AI-agent workflows. With a deep bench of engineering talent and a focus on mission-critical applications, they are well-positioned to transition into the high-value AI Forward Deployed Engineering space.",Orbis Screened,raw
FINCON REPLY GMBH,fincon reply gmbh,DE,DACH,67000000.0,3000000.0,,426,6202,Unknown,False,,True,"Fincon Reply, as part of the Reply Group, is a specialized IT consultancy with deep expertise in financial services, banking, and complex digital transformation. They possess the high-end architectural capabilities and technical engineering depth required to build and integrate sophisticated AI solutions, including cloud-native applications and data-driven systems. Their existing technical footprint in the highly regulated financial sector provides a strong foundation for scaling AI-driven operational workflows and enterprise-grade RAG implementations.",Orbis Screened,raw
SEVEN PRINCIPLES AG,seven principles ag,DE,DACH,66900000.00000001,2200000.0,,356,6209,Unknown,False,,True,"SEVEN PRINCIPLES AG qualifies as it operates as a sophisticated enterprise IT consultancy with deep expertise in cloud architecture, IoT, and complex digital transformation projects. They have established specific competencies in AI and data analytics, positioning them well to pivot their existing enterprise engineering talent toward custom RAG and multi-agent workflow deployments. Their focus on high-end industrial digitalization and mobile enterprise solutions aligns with our thesis of finding high-quality software engineering firms capable of scaling advanced AI integration.",Orbis Screened,raw
CGI DANMARK A/S,cgi danmark a s,DK,Denmark,65500000.0,7200000.0,,330,6202,Unknown,False,,True,"CGI Danmark is a large-scale IT consultancy and systems integrator with deep technical heritage in data management, cloud architecture, and enterprise digital transformation. Their existing expertise in complex enterprise software delivery and data infrastructure provides a strong foundation to scale into AI Forward Deployed Engineering, specifically through current initiatives in generative AI, automation, and predictive analytics for public and private sector clients. As a high-tier consultancy, they possess the engineering talent and enterprise access required to deploy bespoke AI pipelines and RAG systems at scale.",Orbis Screened,raw
SCHEER GMBH,scheer gmbh,DE,DACH,65000000.0,2800000.0,,328,6202,Unknown,False,,True,"Scheer GmbH is a well-established IT consulting and systems integration firm with deep expertise in digital transformation, process automation, and SAP-based architectures. Their specialized focus on enterprise data integration and intelligent process automation makes them an ideal candidate to pivot into AI Forward Deployed Engineering, as they already possess the foundational expertise to integrate RAG pipelines into existing complex enterprise data stacks.",Orbis Screened,raw
UNIT IT HOLDING A/S,unit it holding a s,DK,Denmark,64700000.0,5400000.0,,244,6202,Unknown,False,,True,"UNIT IT is a well-established Danish IT infrastructure and cloud solutions provider with deep expertise in managed services, security, and data architecture. Their operational profile aligns with our High Potential criteria as they possess the necessary cloud infrastructure stack and engineering foundation to integrate and scale enterprise-grade AI and machine learning workflows for their existing B2B client base. While they are a mature IT services firm, their focus on complex hybrid cloud environments makes them a prime candidate for an AI-focused service extension pivot.",Orbis Screened,raw
CIPAL,cipal,BE,Benelux,64200000.0,8100000.0,,23,6202,Unknown,False,,True,"CIPAL is a prominent Belgian IT provider specializing in digital transformation for the public sector, offering complex enterprise software integration and custom development. Given their deep involvement in data infrastructure, cloud ecosystems, and public sector digitalization, they possess the core engineering foundation required to transition into deploying RAG systems and specialized AI agents for governmental workflows. Their long-standing track record in high-complexity environments aligns well with the 'High Potential' criteria for an FDE-focused investment pivot.",Orbis Screened,raw
USU GMBH,usu gmbh,DE,DACH,63800000.0,6600000.0,,411,6202,Unknown,False,,True,"USU GmbH is an established European IT service and software provider specializing in IT service management, knowledge management, and AI-driven automation. They actively integrate AI/ML, NLP, and intelligent virtual agents into their enterprise service platforms, demonstrating significant technical depth in deploying applied AI solutions for large-scale B2B clients. Their focus on automated knowledge harvesting and AI-powered self-service aligns well with our thesis of bridging enterprise data with practical, agentic AI workflows.",Orbis Screened,raw
TIETOEVRY AUSTRIA GMBH,tietoevry austria gmbh,AT,DACH,63700000.0,7400000.0,,n.v.,6209,Unknown,False,,True,"Tietoevry is a major Nordic digital services and software engineering firm with deep capabilities in cloud infrastructure, data engineering, and enterprise-grade digital transformation. Their existing focus on AI, data analytics, and industrial software provides a robust foundation for high-end Forward Deployed Engineering. While they are a large-scale provider, their technical depth in navigating complex enterprise stacks makes them well-positioned to scale proprietary AI and RAG implementations for industrial clients.",Orbis Screened,raw
ASSECO SOLUTIONS AG,asseco solutions ag,DE,DACH,63200000.0,3800000.0,,327,6202,Unknown,False,,True,"Asseco Solutions AG is a major player in the ERP and enterprise software market, possessing a deep domain expertise in complex back-office systems that serve as the backbone for AI integration. While their traditional core is ERP, their established technical infrastructure, large enterprise customer base, and existing internal capacity for complex software implementation provide a strong foundation to pivot toward enterprise-grade AI deployment. They represent a high-potential platform for scaling AI-driven operational efficiency within the German industrial landscape.",Orbis Screened,raw
ITERATEC GMBH,iteratec gmbh,DE,DACH,62900000.0,4099999.9999999995,,450,6201,Unknown,False,,True,"ITERATEC GmbH is a high-end software engineering firm that actively integrates AI into enterprise architectures, specifically focusing on custom machine learning models, RAG implementations, and LLM-based agentic workflows. Their technical proficiency in cloud-native application development and deep domain expertise in data-driven solutions positions them as a strong candidate for an AI FDE partner. They demonstrate the requisite sophistication in handling complex data pipelines and bespoke enterprise software, moving beyond simple integration to functional AI application deployment.",Orbis Screened,raw
AE,ae,BE,Benelux,62000000.0,4400000.0,,322,6202,Unknown,False,,True,"AE is a high-end Belgian IT consultancy that has already moved beyond basic software development to offer structured AI and data services, including generative AI strategy, LLM integration, and AI-driven process automation. Their technical expertise in building robust, data-centric architectures makes them an ideal candidate for an AI FDE strategy. Their market positioning demonstrates the necessary maturity and engineering depth to bridge complex enterprise data silos with scalable AI workflows.",Orbis Screened,raw
GLOBETEAM A/S,globeteam a s,DK,Denmark,60800000.0,6400000.0,,46,6202,Unknown,False,,True,"Globeteam A/S is a highly technical consultancy specializing in complex IT infrastructure, cloud migration, and data platform engineering, which serves as a robust foundation for AI integration. They maintain high-level expertise in Microsoft Azure and advanced data architectures, placing them in an ideal position to execute custom AI deployments and enterprise-grade RAG systems. Their strong engineering culture and existing strategic advisory relationships with large enterprise clients provide a clear pathway to scaling specialized AI Forward Deployed Engineering services.",Orbis Screened,raw
SAPIENT GMBH,sapient gmbh,DE,DACH,58600000.0,1500000.0,,275,6202,Unknown,False,,True,"Sapient (part of Publicis Sapient) is a premier digital transformation consultancy with significant expertise in engineering, cloud architecture, and data science. Their established track record in large-scale enterprise technology implementation and recent investments in Generative AI services positions them as a strong candidate for the 'High Potential' criteria. They possess the required technical depth and human capital to scale complex AI pipelines and multi-agent workflows for global enterprise clients.",Orbis Screened,raw
XL2 GMBH,xl2 gmbh,DE,DACH,58500000.0,9500000.0,,242,6202,Unknown,False,,True,"XL2 GmbH is a strategic joint venture between Audi and Capgemini, specifically focused on digital transformation and next-generation software engineering for the automotive industry. They possess deep expertise in cloud-native development, big data, and advanced analytics, providing the necessary infrastructure and engineering maturity to scale AI deployments. Given their focus on industrial-grade software solutions, they represent a high-potential firm with the technical foundation to successfully pivot into complex AI orchestration and model integration for the manufacturing sector.",Orbis Screened,raw
ARXUS,arxus,BE,Benelux,58500000.0,5400000.0,,76,6202,Unknown,False,,True,"ARXUS is a high-end Belgian managed cloud and digital transformation specialist that already manages complex, mission-critical infrastructure for enterprise clients. Their deep expertise in cloud architecture, data platform management, and secure IT governance provides the ideal foundation for scaling AI Forward Deployed Engineering. By leveraging their existing technical integration capabilities and high-trust enterprise relationships, they are well-positioned to pivot into the deployment of RAG systems and multi-agent AI workflows for their established client base.",Orbis Screened,raw
S&N INVENT GMBH,s n invent gmbh,DE,DACH,57900000.0,4099999.9999999995,,270,6201,Unknown,False,,True,"S&N Invent GmbH is a specialized IT consultancy with a strong focus on complex software architecture, cloud-native development, and digital transformation within the German enterprise sector. They demonstrate high technical maturity and an established ability to integrate advanced data analytics and automation, which positions them as an ideal candidate for pivoting toward full-scale AI Forward Deployed Engineering. Their existing footprint in financial services and infrastructure provides a high-value pipeline for implementing proprietary RAG and multi-agent workflows.",Orbis Screened,raw
T.CON GMBH & CO. KG,t con gmbh co kg,DE,DACH,57300000.0,6600000.0,,378,6202,Unknown,False,,True,"T.CON is a specialized SAP consultancy and software development firm with a deep focus on manufacturing and supply chain digitalization. Their long-standing technical expertise in enterprise system architecture and industrial data processing provides a strong foundation for scaling AI-driven operational workflows. Given their existing deployment of smart factory solutions and data-intensive process automation, they possess the high-quality engineering capability required to pivot into enterprise-grade RAG and AI-driven pipeline integration for industrial clients.",Orbis Screened,raw
BE-TERNA GMBH,be terna gmbh,AT,DACH,56900000.0,2300000.0,,284,6209,Unknown,False,,True,"BE-TERNA is a prominent European business solutions provider specializing in digital transformation, ERP, and cloud infrastructure, possessing the deep technical architecture capabilities required for complex enterprise integration. Given their significant footprint in data-driven consulting and focus on Microsoft ecosystem technologies, they represent a high-potential asset for pivoting toward scaled AI deployment and RAG-based enterprise solutions. Their existing service portfolio demonstrates the necessary engineering rigor to transition from traditional cloud consultancy to advanced FDE workflows.",Orbis Screened,raw
SAVACO,savaco,BE,Benelux,56600000.0,1800000.0,,207,6201,Unknown,False,,True,"SAVACO is an established Belgian IT service provider with a strong focus on cloud infrastructure, data management, and digital transformation. Their deep technical expertise in Microsoft ecosystems, Azure cloud architecture, and data engineering positions them as a high-potential firm capable of pivoting to AI FDE, particularly in building enterprise-grade RAG pipelines and deploying AI agents for their existing blue-chip client base.",Orbis Screened,raw
BLINKS LABS GMBH,blinks labs gmbh,DE,DACH,56300000.0,3800000.0,,142,6201,Unknown,False,,True,"Blinks Labs GmbH specializes in custom software engineering and digital product development, positioning them as a strong candidate for an AI FDE pivot. Their technical focus on complex architecture and bespoke software solutions aligns with the high-end engineering capabilities required to deploy RAG systems and multi-agent workflows. As an NACE 6201 firm, they possess the requisite infrastructure and talent density to transition from traditional software development to advanced enterprise AI implementation.",Orbis Screened,raw
HISOLUTIONS AG,hisolutions ag,DE,DACH,55400000.0,5600000.0,,362,6202,Unknown,False,,True,"HiSolutions AG is a highly specialized German IT consultancy with a strong focus on cybersecurity, risk management, and complex enterprise infrastructure, which provides the high-trust, high-compliance environment necessary for AI integration. While their roots are in security, their technical depth in high-stakes systems and digital transformation aligns well with the transition toward deploying secure, enterprise-grade AI pipelines. Their expertise in GRC (Governance, Risk, and Compliance) makes them an ideal candidate for scaling 'safe' AI applications for regulated industries in the DACH region.",Orbis Screened,raw
IGZ INGENIEURGESELLSCHAFT FUER LOGISTISCHE INFORMATIONSSYSTEME MBH,igz ingenieurgesellschaft fuer logistische informationssysteme mbh,DE,DACH,55300000.0,10300000.0,,800,6201,Unknown,False,,True,"IGZ is a high-end specialist in SAP-integrated logistics and manufacturing software (EWM/MFS) with deep engineering expertise in complex automated warehouse systems. Their track record of integrating hardware-level robotics with high-level software stacks provides the perfect technical foundation to deploy AI-driven logistics optimization and autonomous decision-making agents. While their current focus is traditional industrial automation, their deep integration capabilities and domain expertise represent a high-potential target for scaling specialized AI industrial pipelines.",Orbis Screened,raw
FLEXSO,flexso,BE,Benelux,55200000.0,2100000.0,,129,6201,Unknown,False,,True,"FLEXSO is a highly specialized SAP consultancy with significant technical depth in cloud architecture, data integration, and intelligent automation. They have already pivoted towards AI through the deployment of SAP Business AI and custom generative AI integrations for complex enterprise environments. Their established track record in high-end technical architecture makes them a prime candidate for the AI Forward Deployed Engineering thesis as they bridge SAP core data with modern AI agentic workflows.",Orbis Screened,raw
I N F O D A S GESELLSCHAFT FUER SYSTEMENTWICKLUNG UND INFORMATIONSVERARBEITUNG MBH,i n f o d a s gesellschaft fuer systementwicklung und informationsverarbeitung mbh,DE,DACH,55000000.0,7100000.0,,236,6202,Unknown,False,,True,"INFODAS is a high-end German cybersecurity and IT consultancy specializing in high-security, classified environments, which provides a strong foundation for deploying sensitive AI workflows. Their established role as a secure systems integrator for defense and government sectors allows for a high-value pivot into bespoke, secure AI deployment and RAG infrastructure. Their deep expertise in information security and system architecture makes them a prime candidate for the high-trust AI implementation segment.",Orbis Screened,raw
REVEVOL S.A R.L.,revevol s a r l,LU,Benelux,54100000.0,4700000.0,,150,6202,Unknown,False,,True,"Revevol is a prominent Google Cloud Premier Partner specializing in digital transformation and workspace modernization. Given their deep expertise in Google Cloud Platform architecture and their focus on cloud-native application development, they possess the technical infrastructure and engineering pedigree required to pivot toward scaling AI deployment and RAG-based enterprise solutions. Their long-standing enterprise partnership with Google positions them favorably to integrate Vertex AI and Gemini models into client workflows.",Orbis Screened,raw
NETCONOMY GMBH,netconomy gmbh,AT,DACH,53600000.0,8500000.0,,n.v.,6209,Unknown,False,,True,"NETCONOMY is a specialized digital transformation firm with deep expertise in cloud-native software engineering and SAP CX integration, providing the exact architectural foundation required for AI FDE. They actively focus on data-driven retail and service modernization, making them well-positioned to implement RAG and AI-driven workflow automation. Their strong technical heritage in complex enterprise systems provides the necessary engineering rigor to transition from traditional cloud consultancy to advanced AI deployment.",Orbis Screened,raw
ALFAPEOPLE APS,alfapeople aps,DK,Denmark,53600000.0,5600000.0,,575,6202,Unknown,False,,True,"AlfaPeople is a high-end Microsoft Dynamics 365 partner with deep technical expertise in complex enterprise resource planning and cloud architecture. Given their current role as an implementation partner for the Microsoft ecosystem, they are ideally positioned to act as a bridge for deploying Azure OpenAI services and Copilot integrations into enterprise workflows. Their existing focus on high-value digital transformation and established technical infrastructure makes them a strong candidate for pivoting into an AI Forward Deployed Engineering model.",Orbis Screened,raw
